# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = bernoulli_1.data.R
# init = 2 (Default)
# random
#   seed = 1208049082
# output
#   file = bernoulli_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.983744
# Diagonal elements of inverse mass matrix:
# 0.380123

-9.06319,1,0.983744,1,1,0,0.140408
-7.88965,0.833353,0.983744,2,3,0,0.242368
-7.64252,0.998968,0.983744,2,3,0,0.32073
-7.82941,0.950972,0.983744,2,3,0,0.420371
-8.51405,0.930894,0.983744,2,3,0,0.522939
-7.83777,1,0.983744,1,1,0,0.422301
-8.45634,0.84459,0.983744,1,1,0,0.516498
-9.14321,0.828849,0.983744,1,1,0,0.58199
-8.07429,1,0.983744,3,7,0,0.216288
-8.52854,0.974364,0.983744,2,3,0,0.173665
-7.66018,1,0.983744,2,3,0,0.305213
-8.29845,0.84336,0.983744,2,3,0,0.497568
-8.75856,0.960351,0.983744,2,3,0,0.548005
-7.67575,0.968947,0.983744,2,3,0,0.296776
-8.36082,0.829663,0.983744,2,3,0,0.505298
-7.69473,0.957605,0.983744,2,3,0,0.288712
-8.42208,0.817164,0.983744,2,3,0,0.512563
-11.8008,0.551808,0.983744,3,7,0,0.0591103
-10.1521,1,0.983744,2,3,0,0.0968875
-10.1521,0.92474,0.983744,1,1,0,0.0968875
-9.82203,1,0.983744,1,1,0,0.107814
-10.3027,0.953113,0.983744,1,1,0,0.0923845
-9.73066,1,0.983744,1,1,0,0.11113
-9.54243,1,0.983744,2,3,0,0.118418
-10.1884,0.977826,0.983744,2,3,0,0.0957774
-10.6065,0.962813,0.983744,1,1,0,0.0840818
-10.0548,1,0.983744,2,3,0,0.0999488
-7.67276,0.935853,0.983744,2,3,0,0.29823
-7.67276,0.8054,0.983744,2,3,0,0.29823
-8.18043,0.902464,0.983744,2,3,0,0.204352
-8.19906,0.996675,0.983744,1,1,0,0.202417
-7.71692,0.955848,0.983744,2,3,0,0.388625
-7.71692,0.51717,0.983744,3,7,0,0.388625
-8.22464,0.931555,0.983744,2,3,0,0.199826
-8.02976,1,0.983744,1,1,0,0.221842
-7.87233,1,0.983744,1,1,0,0.245342
-7.75075,1,0.983744,1,1,0,0.271119
-7.64879,0.996492,0.983744,2,3,0,0.31371
-7.79808,0.982219,0.983744,2,3,0,0.412747
-8.13186,0.913495,0.983744,1,1,0,0.474888
-7.82512,1,0.983744,2,3,0,0.419366
-7.90228,0.979384,0.983744,1,1,0,0.436043
-7.66825,0.975666,0.983744,2,3,0,0.367228
-7.6425,1,0.983744,2,3,0,0.320745
-7.65618,0.925424,0.983744,2,3,0,0.307858
-8.69208,0.857114,0.983744,2,3,0,0.162162
-7.77419,0.990506,0.983744,2,3,0,0.265235
-7.6552,0.989676,0.983744,2,3,0,0.358748
-7.64596,1,0.983744,1,1,0,0.350462
-7.65923,0.993612,0.983744,2,3,0,0.305819
-7.64613,0.997843,0.983744,2,3,0,0.316312
-7.93441,0.961343,0.983744,2,3,0,0.442275
-7.96038,0.992948,0.983744,1,1,0,0.447074
-7.84984,1,0.983744,1,1,0,0.425021
-8.04637,0.852082,0.983744,3,7,0,0.219727
-7.86225,0.938703,0.983744,2,3,0,0.427739
-7.66721,0.980825,0.983744,2,3,0,0.301111
-8.17206,0.922601,0.983744,2,3,0,0.205236
-8.72748,0.910897,0.983744,1,1,0,0.15985
-9.31057,0.974259,0.983744,2,3,0,0.128366
-8.60092,1,0.983744,1,1,0,0.168397
-11.4196,0.751406,0.983744,2,3,0,0.0659807
-8.57764,0.95402,0.983744,3,7,0,0.529783
-8.99259,0.89282,0.983744,1,1,0,0.569339
-7.74425,1,0.983744,2,3,0,0.397707
-7.95541,0.945001,0.983744,1,1,0,0.446171
