# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 1207203900
# output
#   file = bernoulli_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.05691
# Diagonal elements of inverse mass matrix:
# 0.392059

-8.95842,0.746681,1.05691,2,3,0,0.146043
-8.28671,1,1.05691,1,1,0,0.193836
-7.99761,1,1.05691,2,3,0,0.2261
-8.51598,0.955916,1.05691,2,3,0,0.523151
-7.65541,1,1.05691,2,3,0,0.308403
-7.63944,0.841743,1.05691,2,3,0,0.340208
-8.13039,0.872111,1.05691,2,3,0,0.209774
-7.74001,0.998802,1.05691,2,3,0,0.274038
-7.64394,0.916745,1.05691,2,3,0,0.318831
-7.67811,0.989409,1.05691,2,3,0,0.372474
-9.49425,0.706564,1.05691,2,3,0,0.120391
-11.4648,0.794385,1.05691,1,1,0,0.0651194
-10.1023,1,1.05691,1,1,0,0.0984388
-9.57518,1,1.05691,1,1,0,0.117103
-9.15722,1,1.05691,1,1,0,0.135636
-8.42911,1,1.05691,1,1,0,0.18143
-9.5962,0.93903,1.05691,2,3,0,0.11627
-8.69454,1,1.05691,1,1,0,0.161999
-8.17202,1,1.05691,1,1,0,0.20524
-7.63976,1,1.05691,2,3,0,0.341028
-7.64568,0.997957,1.05691,2,3,0,0.316801
-7.6632,0.952376,1.05691,2,3,0,0.364216
-7.68645,0.992909,1.05691,1,1,0,0.376432
-7.86457,0.945644,1.05691,1,1,0,0.428239
-8.48268,0.924143,1.05691,2,3,0,0.519467
-8.20117,0.604906,1.05691,2,3,0,0.484731
-7.9281,1,1.05691,1,1,0,0.441078
-7.9281,0.607105,1.05691,2,3,0,0.441078
-8.09318,0.947668,1.05691,1,1,0,0.469096
-8.22905,0.956439,1.05691,1,1,0,0.488517
-7.87622,1,1.05691,1,1,0,0.430714
-7.72255,0.976441,1.05691,2,3,0,0.279172
-7.77853,0.985524,1.05691,1,1,0,0.264209
-7.72459,0.875964,1.05691,2,3,0,0.39131
-7.68552,1,1.05691,1,1,0,0.376006
-7.66119,0.943786,1.05691,2,3,0,0.304585
-7.6397,0.971296,1.05691,2,3,0,0.325844
-7.64303,0.986588,1.05691,2,3,0,0.320009
-7.64055,0.985683,1.05691,2,3,0,0.323988
-7.6384,0.999862,1.05691,2,3,0,0.336239
-7.86024,0.941925,1.05691,2,3,0,0.247495
-8.85784,0.845224,1.05691,2,3,0,0.151802
-7.66465,0.995574,1.05691,2,3,0,0.302537
-9.45251,0.612121,1.05691,2,3,0,0.605837
-7.71706,1,1.05691,2,3,0,0.388677
-7.71706,0.811097,1.05691,2,3,0,0.388677
-7.68132,0.985715,1.05691,2,3,0,0.294223
-7.71795,0.975143,1.05691,2,3,0,0.388992
-8.45904,0.882726,1.05691,2,3,0,0.179024
-7.95511,0.894949,1.05691,2,3,0,0.446116
-7.67775,0.985751,1.05691,2,3,0,0.295838
-8.48757,0.830554,1.05691,2,3,0,0.176786
-8.02816,1,1.05691,1,1,0,0.222049
-7.64777,0.98317,1.05691,2,3,0,0.352361
-7.6994,0.9697,1.05691,2,3,0,0.286957
-7.6994,0.941145,1.05691,2,3,0,0.286957
-7.76597,0.982576,1.05691,1,1,0,0.26723
-7.73024,1,1.05691,2,3,0,0.276847
-7.73024,0.840347,1.05691,2,3,0,0.276847
-8.07532,0.898491,1.05691,2,3,0,0.466338
-7.81412,1,1.05691,2,3,0,0.256391
-7.70431,1,1.05691,2,3,0,0.285188
-7.66433,1,1.05691,1,1,0,0.302722
-7.64633,0.855316,1.05691,2,3,0,0.350864
-7.65259,0.857904,1.05691,2,3,0,0.310504
-8.78274,0.748147,1.05691,2,3,0,0.156352
-7.71414,0.983848,1.05691,2,3,0,0.281848
-7.64468,1,1.05691,2,3,0,0.317932
-7.64468,0.586668,1.05691,2,3,0,0.317932
-7.6389,0.997265,1.05691,2,3,0,0.338551
-7.85473,0.945454,1.05691,2,3,0,0.4261
-7.9956,0.955463,1.05691,1,1,0,0.453292
-8.62815,0.812848,1.05691,1,1,0,0.535047
-7.86138,0.931403,1.05691,2,3,0,0.247289
-8.43115,0.836488,1.05691,2,3,0,0.513613
-7.96613,1,1.05691,1,1,0,0.448112
-7.66396,1,1.05691,2,3,0,0.302937
-8.1198,0.298486,1.05691,2,3,0,0.210966
-7.80095,0.860402,1.05691,2,3,0,0.413474
-8.19096,0.881499,1.05691,1,1,0,0.48332
-7.65624,0.98677,1.05691,2,3,0,0.307815
-7.74351,0.973017,1.05691,2,3,0,0.397479
-7.68759,0.986368,1.05691,2,3,0,0.291548
-12.717,0.39358,1.05691,2,3,0,0.0456978
-9.43443,0.954733,1.05691,2,3,0,0.122908
-9.38323,1,1.05691,2,3,0,0.125122
-11.0534,0.814706,1.05691,1,1,0,0.0734831
-11.9617,0.929423,1.05691,1,1,0,0.0564622
-7.64165,1,1.05691,2,3,0,0.344744
-7.64165,0.598641,1.05691,2,3,0,0.344744
-8.39658,0.820152,1.05691,2,3,0,0.509576
-7.81379,1,1.05691,1,1,0,0.416653
-7.81379,0.915986,1.05691,1,1,0,0.416653
-7.66904,0.988805,1.05691,2,3,0,0.300132
-7.68958,0.994393,1.05691,1,1,0,0.290735
-7.64011,0.997918,1.05691,2,3,0,0.341834
-7.81665,0.951635,1.05691,2,3,0,0.255872
-7.81665,0.552364,1.05691,2,3,0,0.255872
-7.83999,0.994211,1.05691,1,1,0,0.251257
-7.64256,1,1.05691,2,3,0,0.346157
-7.74706,0.736734,1.05691,2,3,0,0.272103
-7.79508,0.987737,1.05691,1,1,0,0.26045
-7.84231,0.611913,1.05691,2,3,0,0.250816
-7.66845,0.963339,1.05691,2,3,0,0.36734
-7.75275,0.974256,1.05691,1,1,0,0.400295
-7.98515,0.92834,1.05691,1,1,0,0.451479
-9.16609,0.822508,1.05691,2,3,0,0.135198
-9.96685,0.89426,1.05691,1,1,0,0.102828
-7.68924,1,1.05691,2,3,0,0.377681
-7.64755,1,1.05691,1,1,0,0.352134
