# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 1207203894
# output
#   file = bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.17855
# Diagonal elements of inverse mass matrix:
# 0.342568

-7.64471,0.994071,1.17855,2,3,0,0.317894
-8.3981,0.845317,1.17855,2,3,0,0.183992
-8.0268,1,1.17855,1,1,0,0.222225
-8.42065,0.912484,1.17855,1,1,0,0.182122
-7.67645,0.915384,1.17855,2,3,0,0.371637
-8.05014,0.886221,1.17855,2,3,0,0.219255
-7.80751,1,1.17855,1,1,0,0.257772
-7.80896,0.824757,1.17855,2,3,0,0.257468
-10.5124,0.662235,1.17855,2,3,0,0.0865478
-9.0389,1,1.17855,1,1,0,0.141683
-8.1387,1,1.17855,2,3,0,0.475889
-8.82927,0.782038,1.17855,1,1,0,0.55469
-8.19029,1,1.17855,1,1,0,0.483228
-7.75253,1,1.17855,1,1,0,0.400228
-8.00807,0.968777,1.17855,2,3,0,0.22469
-8.2901,0.93522,1.17855,1,1,0,0.193521
-7.91463,1,1.17855,1,1,0,0.238282
-7.68235,0.977398,1.17855,2,3,0,0.374529
-7.75177,0.992794,1.17855,2,3,0,0.270849
-7.66874,1,1.17855,1,1,0,0.300289
-8.23707,0.851933,1.17855,2,3,0,0.489589
-8.23707,0.770179,1.17855,1,1,0,0.489589
-8.42216,0.936093,1.17855,1,1,0,0.512572
-10.8564,0.433521,1.17855,1,1,0,0.690133
-10.8564,0.620455,1.17855,1,1,0,0.690133
-8.67663,1,1.17855,2,3,0,0.16319
-7.9306,1,1.17855,2,3,0,0.235783
-9.74901,0.708955,1.17855,2,3,0,0.110453
-9.74451,1,1.17855,1,1,0,0.110618
-8.37512,1,1.17855,1,1,0,0.185938
-9.78005,0.767501,1.17855,1,1,0,0.109321
-8.55663,1,1.17855,1,1,0,0.171585
-8.11855,1,1.17855,1,1,0,0.211108
-8.03195,1,1.17855,1,1,0,0.22156
-8.43927,0.909939,1.17855,1,1,0,0.180606
-8.43927,0.164556,1.17855,2,3,0,0.180606
-7.98343,0.942708,1.17855,2,3,0,0.228052
-7.66488,0.898945,1.17855,2,3,0,0.30241
-7.66488,0.462025,1.17855,2,3,0,0.30241
-7.65545,0.966642,1.17855,2,3,0,0.308372
-7.68321,0.948895,1.17855,2,3,0,0.293397
-7.66877,1,1.17855,1,1,0,0.300277
-7.71795,0.985588,1.17855,1,1,0,0.280618
-7.63817,0.99935,1.17855,2,3,0,0.333225
-7.66851,0.926474,1.17855,2,3,0,0.367375
-7.64614,0.997335,1.17855,2,3,0,0.316308
-7.63844,0.998843,1.17855,2,3,0,0.330187
-7.63967,0.999611,1.17855,1,1,0,0.325897
-7.72997,0.975205,1.17855,2,3,0,0.393123
-7.74711,0.998055,1.17855,2,3,0,0.398589
-7.74711,0.640944,1.17855,2,3,0,0.398589
-8.45856,0.758491,1.17855,2,3,0,0.179062
-9.006,0.898806,1.17855,1,1,0,0.14344
-10.0895,0.845225,1.17855,1,1,0,0.0988433
-10.5622,0.945011,1.17855,1,1,0,0.0852312
-9.91518,1,1.17855,1,1,0,0.104571
-7.72902,0.969146,1.17855,2,3,0,0.277207
-7.67447,1,1.17855,2,3,0,0.370617
-8.0257,0.864833,1.17855,2,3,0,0.222368
-8.09521,0.983215,1.17855,1,1,0,0.2138
-7.83285,1,1.17855,2,3,0,0.252635
-7.69037,1,1.17855,1,1,0,0.290416
-8.25292,0.882621,1.17855,2,3,0,0.197047
-8.57471,0.933147,1.17855,1,1,0,0.170271
-7.71386,1,1.17855,2,3,0,0.281939
-7.87585,0.955741,1.17855,1,1,0,0.244728
-8.16483,0.929914,1.17855,1,1,0,0.206006
-7.74176,0.962027,1.17855,2,3,0,0.273553
-8.31349,0.910144,1.17855,2,3,0,0.499465
-8.25485,1,1.17855,1,1,0,0.491941
-10.3809,0.476666,1.17855,1,1,0,0.665004
