# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 1207203908
# output
#   file = bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 1.1195
# Diagonal elements of inverse mass matrix:
# 0.450186
-7.99798,1,1.1195,1,1,0,0.22605
-7.78297,1,1.1195,2,3,0,0.408812
-7.78297,0.222098,1.1195,1,1,0,0.408812
-8.52073,0.734632,1.1195,1,1,0,0.52367
-7.85969,0.924295,1.1195,2,3,0,0.247595
-7.64515,0.987735,1.1195,2,3,0,0.349534
-7.6664,0.908321,1.1195,2,3,0,0.366154
-8.52702,0.763208,1.1195,2,3,0,0.17378
-8.97061,0.945099,1.1195,2,3,0,0.567427
-8.34119,1,1.1195,2,3,0,0.188888
-9.16493,0.825045,1.1195,1,1,0,0.135256
-8.26773,1,1.1195,1,1,0,0.195626
-8.64371,0.909766,1.1195,1,1,0,0.165418
-7.68134,0.94158,1.1195,2,3,0,0.374047
-7.76093,0.98519,1.1195,2,3,0,0.268487
-7.65777,1,1.1195,1,1,0,0.306775
-7.65777,0.909061,1.1195,2,3,0,0.306775
-8.07622,0.900155,1.1195,2,3,0,0.216055
-7.63873,0.985785,1.1195,2,3,0,0.337912
-7.63873,0.134934,1.1195,2,3,0,0.337912
-9.1531,0.655371,1.1195,2,3,0,0.13584
-8.00899,1,1.1195,2,3,0,0.455576
-7.79917,1,1.1195,1,1,0,0.413024
-8.09802,0.945418,1.1195,2,3,0,0.469833
-7.67251,1,1.1195,1,1,0,0.369585
-7.72126,0.980777,1.1195,1,1,0,0.390159
-7.67006,0.743171,1.1195,2,3,0,0.368247
-8.46565,0.781558,1.1195,2,3,0,0.1785
-7.63948,0.973027,1.1195,2,3,0,0.326391
-8.14793,0.819277,1.1195,2,3,0,0.207835
-7.91354,1,1.1195,2,3,0,0.438267
-7.67277,1,1.1195,1,1,0,0.369721
-7.70397,0.987684,1.1195,1,1,0,0.383786
-8.30845,0.325681,1.1195,2,3,0,0.498831
-7.73884,0.987354,1.1195,2,3,0,0.274368
-7.73884,0.860285,1.1195,2,3,0,0.274368
-7.85778,0.986654,1.1195,2,3,0,0.426769
-7.97829,0.986708,1.1195,2,3,0,0.228771
-7.97829,0.616387,1.1195,2,3,0,0.228771
-8.18368,0.942602,1.1195,1,1,0,0.204012
-8.00551,0.666049,1.1195,2,3,0,0.454987
-8.00551,0.302128,1.1195,1,1,0,0.454987
-7.63952,0.658003,1.1195,2,3,0,0.326294
-7.64301,0.999172,1.1195,2,3,0,0.346808
